cluster	nomenclature	taxon
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-7/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-5/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1020sd/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1029/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/poultry/egypt/3982-56/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/poultry/egypt/3982-55/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n09407/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n01982/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/1057/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10189s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02127/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1553-15/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1097s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/14vir784-5-1318s/2013_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1123sf/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10118/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1021ad/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/s3802d/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n16789/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1114s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10228sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10249sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10413sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10336sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-7/vrlcu/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10403s/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10250sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10132/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10290sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-203/vrlcu/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1174sf/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10331sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/11350s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10347sf/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/11162s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1117af/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/117af/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/118af/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1155ag/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n08932/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-268/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-267/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n10954/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-159/vrlcu/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/quail/egypt/1171sg/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1116af/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/112sg/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00002/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04287/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1219s/2012_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/11221s/2011_CLADE2.2.1.2
